,SampleId,Initial,afterTrimmo,afterTrimGal_Sum,Read
1,1-A_S44_L003_R1_001,30978167,30594608,30088761,R1
2,1-A_S44_L003_R2_001,30978167,17028017,16625345,R2
3,1-B_S102_L003_R1_001,28392676,27875676,25649981,R1
4,1-B_S102_L003_R2_001,28392676,16570288,15358259,R2
5,1-C_S105_L003_R1_001,19437343,17982553,11289024,R1
6,1-C_S105_L003_R2_001,19437343,12247029,8534124,R2
7,1-D_S79_L003_R1_001,28168766,27955125,27533545,R1
8,1-D_S79_L003_R2_001,28168766,15291380,15057016,R2
9,1-E_S13_L003_R1_001,25308722,25087893,24652085,R1
10,1-E_S13_L003_R2_001,25308722,14744777,14472742,R2
11,1-F_S116_L003_R1_001,24956621,24182878,21627937,R1
12,1-F_S116_L003_R2_001,24956621,14407826,12739618,R2
13,1-G_S29_L003_R1_001,26477827,26239243,25835527,R1
14,1-G_S29_L003_R2_001,26477827,14909783,14663156,R2
15,1-H_S84_L003_R1_001,28197812,27917018,27484971,R1
16,1-H_S84_L003_R2_001,28197812,14668304,14393798,R2
17,1-M_S68_L003_R1_001,27768358,27060812,26772164,R1
18,1-M_S68_L003_R2_001,27768358,12585693,11878210,R2
19,1-N_S95_L003_R1_001,25238225,24866442,24329932,R1
20,1-N_S95_L003_R2_001,25238225,15598855,14822648,R2
21,1-O_S54_L003_R1_001,28729170,28508082,28077352,R1
22,1-O_S54_L003_R2_001,28729170,17167077,16893745,R2
23,1-P_S114_L003_R1_001,23763750,23478596,22318757,R1
24,1-P_S114_L003_R2_001,23763750,17199097,16507034,R2
25,13-A_S112_L003_R1_001,21329890,20988490,19472859,R1
26,13-A_S112_L003_R2_001,21329890,12723445,11948147,R2
27,13-B_S67_L003_R1_001,28147663,27842228,27432808,R1
28,13-B_S67_L003_R2_001,28147663,14684207,14396333,R2
29,13-C_S61_L003_R1_001,28217033,27999524,27558100,R1
30,13-C_S61_L003_R2_001,28217033,15679760,15424539,R2
31,13-D_S8_L003_R1_001,26030615,25816734,25310453,R1
32,13-D_S8_L003_R2_001,26030615,15928733,15644998,R2
33,13-E_S77_L003_R1_001,25640739,25449129,25035500,R1
34,13-E_S77_L003_R2_001,25640739,14775721,14535694,R2
35,13-F_S104_L003_R1_001,27785126,27211053,24370687,R1
36,13-F_S104_L003_R2_001,27785126,16204700,14739824,R2
37,13-G_S50_L003_R1_001,25474383,25288283,24908044,R1
38,13-G_S50_L003_R2_001,25474383,14784625,14575658,R2
39,13-H_S19_L003_R1_001,26071008,25825169,25350549,R1
40,13-H_S19_L003_R2_001,26071008,15456372,15149412,R2
41,13-M_S109_L003_R1_001,22108394,21727614,20187110,R1
42,13-M_S109_L003_R2_001,22108394,13084909,12282571,R2
43,13-N_S83_L003_R1_001,26992537,26765424,26225697,R1
44,13-N_S83_L003_R2_001,26992537,14036684,13736860,R2
45,13-O_S33_L003_R1_001,29418994,29157068,28678777,R1
46,13-O_S33_L003_R2_001,29418994,16804236,16530811,R2
47,13-P_S99_L003_R1_001,27951221,27489086,25627662,R1
48,13-P_S99_L003_R2_001,27951221,17130406,16124308,R2
49,3-A_S90_L003_R1_001,27458445,27202967,26741682,R1
50,3-A_S90_L003_R2_001,27458445,15718923,15430437,R2
51,3-B_S25_L003_R1_001,24522795,24272509,23824209,R1
52,3-B_S25_L003_R2_001,24522795,13052625,12752989,R2
53,3-C_S9_L003_R1_001,24378489,24152754,23762882,R1
54,3-C_S9_L003_R2_001,24378489,12595772,12385235,R2
55,3-D_S75_L003_R1_001,26999102,26808045,26386352,R1
56,3-D_S75_L003_R2_001,26999102,14448524,14220080,R2
57,3-E_S39_L003_R1_001,27730603,27495583,27051633,R1
58,3-E_S39_L003_R2_001,27730603,15715608,15442310,R2
59,3-F_S4_L003_R1_001,30433635,30111176,29660048,R1
60,3-F_S4_L003_R2_001,30433635,17859736,17523587,R2
61,3-G_S16_L003_R1_001,27318509,27093322,26498678,R1
62,3-G_S16_L003_R2_001,27318509,14528992,14221442,R2
63,3-H_S110_L003_R1_001,26606422,26044939,24055022,R1
64,3-H_S110_L003_R2_001,26606422,18449286,17232320,R2
65,3-M_S65_L003_R1_001,30649742,30279538,29691274,R1
66,3-M_S65_L003_R2_001,30649742,14603361,14225637,R2
67,3-N_S46_L003_R1_001,27959790,27734969,27316789,R1
68,3-N_S46_L003_R2_001,27959790,15399535,15166014,R2
69,3-O_S115_L003_R1_001,25943632,25457950,23481103,R1
70,3-O_S115_L003_R2_001,25943632,15180071,14111587,R2
71,3-P_S72_L003_R1_001,26116162,25924037,25515430,R1
72,3-P_S72_L003_R2_001,26116162,13940492,13706378,R2
73,31-A_S71_L003_R1_001,27765592,27538565,27109603,R1
74,31-A_S71_L003_R2_001,27765592,14890621,14625659,R2
75,31-B_S35_L003_R1_001,28386451,28164217,27755649,R1
76,31-B_S35_L003_R2_001,28386451,16793705,16554905,R2
77,31-C_S80_L003_R1_001,23842041,23603272,23192524,R1
78,31-C_S80_L003_R2_001,23842041,11244163,10965976,R2
79,31-D_S113_L003_R1_001,27520250,26926659,25095720,R1
80,31-D_S113_L003_R2_001,27520250,16840156,15631404,R2
81,31-E_S17_L003_R1_001,21619773,21331418,20844552,R1
82,31-E_S17_L003_R2_001,21619773,11419107,11102406,R2
83,31-F_S49_L003_R1_001,26601861,26371617,25965373,R1
84,31-F_S49_L003_R2_001,26601861,15440819,15207292,R2
85,31-G_S106_L003_R1_001,23565210,22563644,17927486,R1
86,31-G_S106_L003_R2_001,23565210,16549763,13565728,R2
87,31-H_S96_L003_R1_001,20183109,19944060,19347106,R1
88,31-H_S96_L003_R2_001,20183109,11656814,11266773,R2
89,31-M_S92_L003_R1_001,26183510,25935627,25408288,R1
90,31-M_S92_L003_R2_001,26183510,12627805,12339753,R2
91,31-N_S2_L003_R1_001,26561181,26317355,25868873,R1
92,31-N_S2_L003_R2_001,26561181,15261121,14994752,R2
93,31-O_S66_L003_R1_001,25803407,25549815,25030548,R1
94,31-O_S66_L003_R2_001,25803407,12896241,12545130,R2
95,31-P_S56_L003_R1_001,23457699,23165536,22855943,R1
96,31-P_S56_L003_R2_001,23457699,11431202,11177346,R2
97,36-A_S1_L003_R1_001,26316603,26015335,25493717,R1
98,36-A_S1_L003_R2_001,26316603,14405031,14098358,R2
99,36-B_S55_L003_R1_001,29993157,29710766,29264847,R1
100,36-B_S55_L003_R2_001,29993157,16821259,16532235,R2
101,36-C_S57_L003_R1_001,23562955,23359076,22988917,R1
102,36-C_S57_L003_R2_001,23562955,12743834,12520716,R2
103,36-D_S94_L003_R1_001,24193212,23886020,23125064,R1
104,36-D_S94_L003_R2_001,24193212,14005298,13464873,R2
105,36-E_S107_L003_R1_001,25950785,25250807,22040274,R1
106,36-E_S107_L003_R2_001,25950785,15372605,13545047,R2
107,36-F_S31_L003_R1_001,25614859,25407864,25016413,R1
108,36-F_S31_L003_R2_001,25614859,14698227,14454684,R2
109,36-G_S7_L003_R1_001,28046994,27805684,27351921,R1
110,36-G_S7_L003_R2_001,28046994,16892166,16627861,R2
111,36-H_S52_L003_R1_001,26011100,25774374,25299695,R1
112,36-H_S52_L003_R2_001,26011100,15821164,15522752,R2
113,36-M_S37_L003_R1_001,27663376,27382671,26908400,R1
114,36-M_S37_L003_R2_001,27663376,13632412,13367856,R2
115,36-N_S40_L003_R1_001,28469726,28250285,27794638,R1
116,36-N_S40_L003_R2_001,28469726,16437669,16185735,R2
117,36-O_S22_L003_R1_001,27548271,27193742,26676132,R1
118,36-O_S22_L003_R2_001,27548271,12652689,12309355,R2
119,36-P_S85_L003_R1_001,28101062,27892319,27451761,R1
120,36-P_S85_L003_R2_001,28101062,16313571,16056284,R2
121,41-A_S91_L003_R1_001,26214021,25969604,25501594,R1
122,41-A_S91_L003_R2_001,26214021,13228156,12950496,R2
123,41-B_S101_L003_R1_001,28846902,28194471,25415424,R1
124,41-B_S101_L003_R2_001,28846902,17554845,15992639,R2
125,41-C_S27_L003_R1_001,27670431,27434925,26951321,R1
126,41-C_S27_L003_R2_001,27670431,16072310,15766844,R2
127,41-D_S12_L003_R1_001,23769494,23446686,22924407,R1
128,41-D_S12_L003_R2_001,23769494,11376193,11013857,R2
129,41-E_S6_L003_R1_001,30071189,29843904,29345265,R1
130,41-E_S6_L003_R2_001,30071189,18502336,18215935,R2
131,41-F_S60_L003_R1_001,23797385,23617296,23285687,R1
132,41-F_S60_L003_R2_001,23797385,12779807,12550654,R2
133,41-G_S18_L003_R1_001,26948162,26621705,25906003,R1
134,41-G_S18_L003_R2_001,26948162,13886297,13445220,R2
135,41-H_S41_L003_R1_001,28172233,27889918,27346310,R1
136,41-H_S41_L003_R2_001,28172233,16107484,15762551,R2
137,41-M_S34_L003_R1_001,29076288,28694845,28368487,R1
138,41-M_S34_L003_R2_001,29076288,15183156,14779644,R2
139,41-N_S78_L003_R1_001,26070936,25908163,25558929,R1
140,41-N_S78_L003_R2_001,26070936,14812044,14599628,R2
141,41-O_S51_L003_R1_001,28389787,28143761,27656841,R1
142,41-O_S51_L003_R2_001,28389787,16668917,16354110,R2
143,41-P_S24_L003_R1_001,26987517,26711249,26402333,R1
144,41-P_S24_L003_R2_001,26987517,13036981,12770461,R2
145,44-A_S42_L003_R1_001,26663699,26420756,26048758,R1
146,44-A_S42_L003_R2_001,26663699,14028782,13742305,R2
147,44-B_S53_L003_R1_001,24493830,24317358,23961546,R1
148,44-B_S53_L003_R2_001,24493830,14804191,14595201,R2
149,44-C_S5_L003_R1_001,30238216,29978182,29515926,R1
150,44-C_S5_L003_R2_001,30238216,18330651,18061038,R2
151,44-D_S30_L003_R1_001,25304405,25108292,24683228,R1
152,44-D_S30_L003_R2_001,25304405,15712657,15447752,R2
153,44-E_S111_L003_R1_001,20911443,20604599,19314059,R1
154,44-E_S111_L003_R2_001,20911443,11540254,10905581,R2
155,44-F_S87_L003_R1_001,24920168,24727368,24420916,R1
156,44-F_S87_L003_R2_001,24920168,13860265,13631887,R2
157,44-G_S14_L003_R1_001,28120656,27933850,27527762,R1
158,44-G_S14_L003_R2_001,28120656,16654711,16416274,R2
159,44-H_S59_L003_R1_001,27734001,27517281,27114919,R1
160,44-H_S59_L003_R2_001,27734001,16401434,16142850,R2
161,44-M_S26_L003_R1_001,27745060,27404821,26993310,R1
162,44-M_S26_L003_R2_001,27745060,15444243,15082219,R2
163,44-N_S81_L003_R1_001,24548828,24340721,23988344,R1
164,44-N_S81_L003_R2_001,24548828,12933001,12728478,R2
165,44-O_S73_L003_R1_001,25005716,24702767,24337990,R1
166,44-O_S73_L003_R2_001,25005716,12578968,12285662,R2
167,44-P_S93_L003_R1_001,24950954,24653961,23928279,R1
168,44-P_S93_L003_R2_001,24950954,14762391,14240127,R2
169,50-A_S38_L003_R1_001,28058254,27816805,27390462,R1
170,50-A_S38_L003_R2_001,28058254,16964092,16663246,R2
171,50-B_S70_L003_R1_001,26751838,26510925,25978969,R1
172,50-B_S70_L003_R2_001,26751838,13556569,13250562,R2
173,50-C_S45_L003_R1_001,27774874,27599005,27197181,R1
174,50-C_S45_L003_R2_001,27774874,16757498,16530422,R2
175,50-D_S119_L003_R1_001,23228267,22891333,21743066,R1
176,50-D_S119_L003_R2_001,23228267,12328511,11757027,R2
177,50-E_S10_L003_R1_001,28817602,28477888,27927631,R1
178,50-E_S10_L003_R2_001,28817602,14640106,14285916,R2
179,50-F_S62_L003_R1_001,24867886,24518122,24119009,R1
180,50-F_S62_L003_R2_001,24867886,14161799,13777629,R2
181,50-G_S118_L003_R1_001,30055357,29547526,27674615,R1
182,50-G_S118_L003_R2_001,30055357,17628711,16682057,R2
183,50-H_S97_L003_R1_001,29219653,28536392,25536900,R1
184,50-H_S97_L003_R2_001,29219653,17622945,16011793,R2
185,50-M_S21_L003_R1_001,25885873,25627581,25272060,R1
186,50-M_S21_L003_R2_001,25885873,14749292,14516287,R2
187,50-N_S20_L003_R1_001,24112742,23932478,23501493,R1
188,50-N_S20_L003_R2_001,24112742,13866489,13628647,R2
189,50-O_S74_L003_R1_001,27358658,27135623,26669073,R1
190,50-O_S74_L003_R2_001,27358658,14374057,14132826,R2
191,50-P_S86_L003_R1_001,28028325,27609309,27173474,R1
192,50-P_S86_L003_R2_001,28028325,15339257,14884742,R2
193,62-A_S108_L003_R1_001,27343827,26858264,25308492,R1
194,62-A_S108_L003_R2_001,27343827,16309925,15457734,R2
195,62-B_S69_L003_R1_001,23736842,23564259,23221474,R1
196,62-B_S69_L003_R2_001,23736842,12732946,12536787,R2
197,62-C_S15_L003_R1_001,30895067,30615011,30116481,R1
198,62-C_S15_L003_R2_001,30895067,17862858,17542813,R2
199,62-D_S47_L003_R1_001,27008442,26800480,26426412,R1
200,62-D_S47_L003_R2_001,27008442,16080428,15817955,R2
201,62-E_S58_L003_R1_001,27731495,27503119,27105252,R1
202,62-E_S58_L003_R2_001,27731495,15752140,15503747,R2
203,62-F_S28_L003_R1_001,27865069,27307532,26832353,R1
204,62-F_S28_L003_R2_001,27865069,13746498,13245717,R2
205,62-G_S117_L003_R1_001,26307407,25429668,21817876,R1
206,62-G_S117_L003_R2_001,26307407,15372215,12990459,R2
207,62-H_S3_L003_R1_001,27324997,27137522,26731684,R1
208,62-H_S3_L003_R2_001,27324997,16654168,16434569,R2
209,62-M_S64_L003_R1_001,25860193,25631593,25218572,R1
210,62-M_S64_L003_R2_001,25860193,14047262,13782973,R2
211,62-N_S100_L003_R1_001,28774753,28326753,26600079,R1
212,62-N_S100_L003_R2_001,28774753,17158586,16246680,R2
213,62-O_S89_L003_R1_001,27622780,27337587,26948495,R1
214,62-O_S89_L003_R2_001,27622780,14371504,14129667,R2
215,62-P_S43_L003_R1_001,28519133,28335197,27952051,R1
216,62-P_S43_L003_R2_001,28519133,18630229,18403001,R2
217,7-A_S23_L003_R1_001,27108326,26803512,26425444,R1
218,7-A_S23_L003_R2_001,27108326,13035261,12712477,R2
219,7-B_S36_L003_R1_001,26203825,25941638,25628653,R1
220,7-B_S36_L003_R2_001,26203825,14669112,14412803,R2
221,7-C_S32_L003_R1_001,23646610,23107332,22511938,R1
222,7-C_S32_L003_R2_001,23646610,11610808,11012163,R2
223,7-E_S88_L003_R1_001,27284441,26954398,26468353,R1
224,7-E_S88_L003_R2_001,27284441,11940946,11624523,R2
225,7-F_S98_L003_R1_001,25968514,25503670,23322011,R1
226,7-F_S98_L003_R2_001,25968514,16200667,15019231,R2
227,7-G_S48_L003_R1_001,26670724,26417991,26038453,R1
228,7-G_S48_L003_R2_001,26670724,13748847,13484915,R2
229,7-H_S82_L003_R1_001,29569970,29331500,28790196,R1
230,7-H_S82_L003_R2_001,29569970,15487174,15194561,R2
231,7-M_S76_L003_R1_001,28080811,27873816,27492291,R1
232,7-M_S76_L003_R2_001,28080811,16679570,16445889,R2
233,7-N_S11_L003_R1_001,26737415,26493172,26040878,R1
234,7-N_S11_L003_R2_001,26737415,14025853,13766783,R2
235,7-O_S63_L003_R1_001,26064592,25790754,25460840,R1
236,7-O_S63_L003_R2_001,26064592,13078968,12777963,R2
237,7-P_S103_L003_R1_001,31324697,30767708,28468626,R1
238,7-P_S103_L003_R2_001,31324697,17476958,16264150,R2